Reading Type,volume,electricityConsumption,electricityConsumption,electricityConsumption,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureAir,temperatureAmbient,electricityConsumption,temperatureRadiant,temperatureRadiant,temperatureAmbient,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant,electricityConsumption,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant,temperatureRadiant,relativeHumidity,temperatureRadiant,temperatureRadiant,temperatureAir,electricityConsumption,electricityConsumption,temperatureRadiant,temperatureRadiant,electricityConsumption,volume,volume,relativeHumidity,calorificValue,temperatureRadiant,temperatureRadiant,temperatureRadiant,temperatureRadiant,temperatureRadiant,temperatureRadiant,electricityConsumption,electricityConsumption,temperatureRadiant,temperatureRadiant,volume,temperatureRadiant,temperatureRadiant,temperatureRadiant,electricityConsumption,temperatureRadiant,temperatureRadiant
Customer Ref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Engine gas meter (L),Electricity Meter 3 (Wh),DHW heat meter (Wh),Third Heat Meter (Wh),Extra temperature sensor 5 (°C),Heat Pump Source Balance (Wh),Extra temperature sensor 6 (°C),Underfloor flow temperature (°C),Heat Pump Sink Balance (Wh),Gas Line temperature (°C),Lounge temperature (°C),Ground Ambient Temperature (°C),Fourth Heat Meter (Wh),DHW Tank Temperature (°C),Gas Boiler Flow temperature (°C),Ambient temperature (°C),Extra temperature sensor 7 (°C),Central Heating Heat Meter (Wh),Central Heating Flow Temperature (°C),Extra Temperature Sensor 1 (°C),Electricity Meter 4 (kWh),Ground Source Flow temperature (°C),Gas Boiler Return temperature (°C),Heat Pump Heat Meter 1 (Wh),Heat Pump Return Temperature (°C),DHW Heat Cross Check (Wh),Air Off Exhaust Temperature (°C),Underfloor Return Temperature (°C),Heat Pump Evaporator Air On Temperature (°C),Humidity in duct (%),Central Heating Buffer Tank temperature (°C),DHW flow temperature (°C),Upstairs temperature (°C),Second Heat Meter (Wh),Immersion Heater Electricity Use (Wh),DHW temperature (°C),Heat Pump Evaporator Air Off Temperature (°C),Electricity Meter 2 (Wh),DHW volume (L),Heating Volume (L),Ambient humidity (%),Calorific value (MJ/m3),Cylinder 1 Environmental Temperature (°C),Extra Temperature Sensor 4 (°C),DHW return temperature (°C),Heat Pump Flow Temperature (°C),Cold Feed DHW Temperature (°C),Extra temperature sensor 8 (°C),Heat Pump Electricity Meter (Wh),Heat Pump Heat Meter 2 (Wh),Extra Temperature Sensor 2 (°C),Central Heating Return Temperature (°C),DHW volume heated (L),Air On Exhaust Temperature (°C),Ambient temp in duct (°C),Extra Temperature Sensor 3 (°C),Circulation Pump Electricity Meter (Wh),Gas Boiler Flue temperature (°C),Ground Source Return Temperature (°C)
Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy (percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Interval (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,INSTANT,CUMULATIVE,CUMULATIVE,CUMULATIVE,INSTANT,CUMULATIVE,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,CUMULATIVE,INSTANT,CUMULATIVE,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,CUMULATIVE,CUMULATIVE,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,CUMULATIVE,CUMULATIVE,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,INSTANT,CUMULATIVE,INSTANT,INSTANT
Sensor Range Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
